Campaign,Measurement,Month1,Month2,Rev_YTD,Rev,Rev_2023,Rev_2024,Flagging_Campaign,Source,RFS_Date,Created_Date,Last_Stage_Change_Date,Opportunity_ID,SF_Opportunity_Id,Campaign_Name,Opportunity_Name,CA_Number,Account_Name,Sub_Line_of_Business,Owner_Group,Opportunity_Owner:_Division,Product_Offer,Opportunity_Owner,Stage,Stage_Count,Opportunity_Quantity,Estimated_Contract_Period_(in_Months),Total_Contract_Value_(converted),Total_OTC_(converted),Total_MRC_(converted),New_Group,Segment,div
ISPMaxBoost,FAB,4,Apr,2000000,12200000,93800000,30600000,Done,SFA,4/4/2023,4/4/2023,4/13/2023,0065g00000Wh47Z,0065g00000Wh47ZAAR,(2023-Q2)MaximumBoost,DETH 200 MBPS SITE AMUNTAI ISP MAXIMUM BOOST,MTX10290050,AMEERA MEGA BUANA,Agents/Distributors,WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,91208350 (NAILAL MUSTAGHFIRI),Cash,1,1,12,124400000,2000000,10200000,REA,0,EAST REGIONAL
ISPMaxBoost,FAB,4,Apr,3500000,24800000,195200000,63900000,Done,SFA,4/4/2023,4/4/2023,4/13/2023,0065g00000Wh47t,0065g00000Wh47tAAB,(2023-Q2)MaximumBoost,DETH 500 MBPS SITE SERONGGA ISP MAKSIMUM BOOST,MTX10290050,AMEERA MEGA BUANA,Agents/Distributors,WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,91208350 (NAILAL MUSTAGHFIRI),Cash,1,1,12,259100000,3500000,21300000,REA,0,EAST REGIONAL
ISPMaxBoost,FAB,5,May,0,12200000,83600000,40800000,Done,SFA,5/5/2023,4/5/2023,4/6/2023,0065g00000Wh8PL,0065g00000Wh8PLAAZ,(2023-Q2)MaximumBoost,DETH 200 MBPS PASIR PANJANG,MTX10290050,AMEERA MEGA BUANA,Agents/Distributors,WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,91208350 (NAILAL MUSTAGHFIRI),Complete,1,1,12,124400000,2000000,10200000,REA,0,EAST REGIONAL
ISPMaxBoost,FAB,4,Apr,0,40000000,360000000,120000000,Done,SFA,4/4/2023,4/4/2023,4/4/2023,0065g00000Wh4BJ,0065g00000Wh4BJAAZ,(2023-Q2)MaximumBoost,MPLS 1000 LAXO GLOBAL AKSES (BREBES),MTX07577406,LAXO GLOBAL AKSES PT,MIG-CAT2-2015,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,89197993 (WACHID ARIF BUDIMAN),Complete,1,1,12,480000000,0,40000000,REA,Media & OTT,EAST REGIONAL
ISPMaxBoost,NO,5,May,0,18700000,3500000,0,Done,SFA,5/5/2023,4/4/2023,,0065g00000Wh4Jz,0065g00000Wh4JzAAJ,(2023-Q2)MaximumBoost,DETH 1G SITE INDRAMAYU MAKSIMUM BOOST 2023,MTX10334969,AKSES DATA INTERNUSA,Internet Service Provider(ISP),WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,91208350 (NAILAL MUSTAGHFIRI),Identify,1,1,,3500000,3500000,15200000,WCA,Wholesale,DOMESTIC WHOLESALE
ISPMaxBoost,NO,5,May,0,18700000,3500000,0,Done,SFA,5/5/2023,4/4/2023,,0065g00000Wh4KO,0065g00000Wh4KOAAZ,(2023-Q2)MaximumBoost,DETH 1GBPS KLATEN MAKSIMUM BOOST,MTX10334969,AKSES DATA INTERNUSA,Internet Service Provider(ISP),WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,91208350 (NAILAL MUSTAGHFIRI),Identify,1,1,,3500000,3500000,15200000,WCA,Wholesale,DOMESTIC WHOLESALE
2023RacingIDA,FAB,3,Mar,850000000,850000000,850000000,0,No,All Pipelines SOM,3/20/2023,3/20/2023,3/20/2023,0065g00000WgRxS,0065g00000WgRxSAAV,2023RacingIDA,IDA ISPL Lazada POC,MTX07715013,INDOSAT SINGAPORE PTE LTD,Other Technologies,WHOLESALE & CARRIER ACCOUNT,INTERNATIONAL WHOLESALE,Big Data Offer-Lead Generation,93218398 (ADISTI PRADANARI PUTRI),Cash,1,1,1,850000000,0,850000000,WCA,Wholesale,INTERNATIONAL DATA WHOLESALE
2023RacingIDA,FAB,3,Mar,25000001,25000001,25000010,2,No,All Pipelines SOM,3/24/2023,3/21/2023,3/24/2023,0065g00000WgYLU,0065g00000WgYLUAA3,2023RacingIDA,PT KAZEEE BIG DATA,,KAZEE DIGITAL INDONESIA,,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Professional Services,0102614819 (DONI RIYADI),Complete,1,1,12,25000012,25000000,1,REA,0,0
2023RacingIDA,FAB,3,Mar,250000000,250000000,250000000,0,No,All Pipelines SOM,3/22/2023,3/22/2023,3/22/2023,0065g00000WgZsp,0065g00000WgZspAAF,2023RacingIDA,WA Broadcast - Ramadhan,MTX10526549,MENTENG HERITAGE REALTY TBK,Agents/Distributors,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,89229279 LIBRIA PUSPA TIRTA,Cash,1,1,1,250000000,0,250000000,REA,0,JABODETABEK
2023RacingIDA,FAB,3,Mar,53000000,53000000,80000000,6000000,No,All Pipelines SOM,3/24/2023,3/16/2023,3/24/2023,0065g00000WgIfv,0065g00000WgIfvAAF,2023RacingIDA,IDA Whatsap Business,,UNIVERSITAS FAJAR,Shools & Univ,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,Big Data Offer-Professional Services,0102614823 (Fadhly),Complete,1,1,12,86000000,50000000,3000000,REA,0,0
2023BDx,NO,5,May,0,150000000,1200000000,600000000,No,All Pipelines SOM,5/15/2023,2/3/2023,2/3/2023,0065g00000UtFG3,0065g00000UtFG3AAN,2023BDx,Denave,,CAHAYA SUBUR LESTARI,Property Developer,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,DC Colocation (Rack Based) Offer - IDR,81136577 (DORIS SAFARI),Develop,1,1,12,54000000,0,150000000,REA,0,0
2023BDx,FAB,3,Mar,7000000,7000000,7000000,0,No,All Pipelines SOM,3/27/2023,3/20/2023,3/27/2023,0065g00000WgRn8,0065g00000WgRn8AAF,2023BDx,PERBAIKAN RACK AXA DCI,MTX07713470,PT AXA GROUP OPERATIONS INDONESIA,Venture Capital,STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC BANKING & FINANCIAL INSTITUTION,DC Colocation (Rack Based) Offer - IDR,84208380 (AHMAD SIDI SARAGIH),Cash,1,1,1,7000000,7000000,0,SEA,Financial,STRATEGIC BANKING & FINANCIAL ACCOUNT
ISPMaxBoost,FAB,4,Apr,0,60000000,540000000,180000000,Done,SFA,4/6/2023,4/6/2023,4/6/2023,0065g00000WgrQO,0065g00000WgrQOAAZ,2023-Q2MaximumBoost,PASIFIK WIJA TEKNOLOGI,,PASIFIK WIJA TEKNOLOGI,"BuildingService,Architect&Eng.",REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0257220004 (PUTRI NUR UTAMI RAMADHANI),Complete,1,1,12,720000000,0,60000000,REA,0,0
ISPMaxBoost,FAB,4,Apr,0,60000000,540000000,180000000,Done,SFA,4/6/2023,4/6/2023,4/6/2023,0065g00000WhAcg,0065g00000WhAcgAAF,2023-Q2MaximumBoost,Loveika MPLS,MTX10460147,LOVEIKA HOST NUSANTARA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0257220004 (PUTRI NUR UTAMI RAMADHANI),Complete,1,1,12,720000000,0,60000000,REA,0,EAST REGIONAL
ISPMaxBoost,FAB,4,Apr,3500000,19000000,143000000,46500000,Done,SFA,4/13/2023,4/6/2023,4/13/2023,0065g00000WhAoT,0065g00000WhAoTAAV,2023-Q2MaximumBoost,CHAYO - MPLS 1 GB,MTX10488710,CHAYO ANUGERAH TEKNOLOGI,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0102614826 (Aeisha Azalia Neva),Cash,1,1,12,189500000,3500000,15500000,REA,0,EAST REGIONAL
ISPMaxBoost,FAB,4,Apr,3500000,13500000,93500000,30000000,Done,SFA,4/13/2023,4/11/2023,4/13/2023,0065g00000WhIUJ,0065g00000WhIUJAA3,2023-Q2MaximumBoost,PDM - 500 MB,MTX10488181,PERSADA DATA MULTIMEDIA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0102614827 (Mohammad Dzulfikar Agus Tsani),Complete,1,1,12,123500000,3500000,10000000,REA,0,EAST REGIONAL
ISPMaxBoost,FAB,4,Apr,3500000,6000000,26000000,7500000,Done,SFA,4/10/2023,4/10/2023,4/10/2023,0065g00000WhIfQ,0065g00000WhIfQAAV,2023-Q2MaximumBoost,CDTN-Site Jembrana Maximum Boost,MTX10658938,CLOUD DATA TEKNOLOGI NUSANTARA,Other Technologies,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0102614826 (Aeisha Azalia Neva),Complete,1,1,12,33500000,3500000,2500000,REA,0,0
ISPMaxBoost,FAB,4,Apr,3500000,32500000,264500000,87000000,Done,SFA,4/12/2023,4/10/2023,4/12/2023,0065g00000WhIij,0065g00000WhIijAAF,2023-Q2MaximumBoost,Linkbit Inovasi Teknologi-Promo MPLS,,LINKBIT INOVASI TEKNOLOGI,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0102614826 (Aeisha Azalia Neva),Complete,1,1,12,351500000,3500000,29000000,REA,0,0
ISPMaxBoost,FAB,4,Apr,3500000,6000000,26000000,7500000,Done,SFA,4/10/2023,4/10/2023,4/10/2023,0065g00000WhIm7,0065g00000WhIm7AAF,2023-Q2MaximumBoost,CDTN-Site Karangasem Maximum Boost,MTX10658938,CLOUD DATA TEKNOLOGI NUSANTARA,Other Technologies,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0102614826 (Aeisha Azalia Neva),Complete,1,1,12,33500000,3500000,2500000,REA,0,0
ISPMaxBoost,NO,6,Jun,0,21500000,150500000,107500000,Done,SFA,6/30/2023,4/12/2023,4/12/2023,0065g00000WhNYe,0065g00000WhNYeAAN,2023-Q2MaximumBoost,Internal Source,,ALNET TELEKOMUNIKASI INDONESIA,Other Technologies,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0257220004 (PUTRI NUR UTAMI RAMADHANI),Develop,1,1,12,258000000,0,21500000,REA,0,0
ISPMaxBoost,FAB,4,Apr,1650000,8310000,61590000,19980000,Done,SFA,4/11/2023,4/10/2023,4/11/2023,0065g00000WhIfb,0065g00000WhIfbAAF,(2023-Q2)MaximumBoost,MPLS 100 MBPS,MTX10344654,PRICOM MEDIA SOLUSI,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,0102614823 (Fadhly),Complete,1,1,12,81570000,1650000,6660000,REA,Supply chain & manufacturing,EAST REGIONAL
ISPMaxBoost,FAB,4,Apr,0,17500000,157500000,52500000,Done,SFA,4/10/2023,4/6/2023,4/10/2023,0065g00000WhBYz,0065g00000WhBYzAAN,(2023-Q2)MaximumBoost,Project MPLS L2 PT. Pandutama Karya Selaras 2023,MTX09913053,PANDUTAMA KARYA SELARAS,Trading Wholesaler,REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,0102614802 (DEPRI ALHAKI),Complete,1,1,12,210000000,0,17500000,REA,Supply chain & manufacturing,WEST REGIONAL
ISPMaxBoost,FAB,4,Apr,0,25000000,225000000,300000000,Done,SFA,4/11/2023,4/11/2023,4/11/2023,0065g00000WhKcE,0065g00000WhKcEAAV,(2023-Q2)MaximumBoost,Project PT. Putra Borneo Teknologi,,PUTRA BORNEO TEKNOLOGI,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,0102614802 (DEPRI ALHAKI),Complete,1,1,24,600000000,0,25000000,REA,0,0
ISPMaxBoost,NO,5,May,0,18000000,144000000,72000000,Done,SFA,5/31/2023,4/13/2023,4/13/2023,0065g00000WhP4l,0065g00000WhP4lAAF,(2023-Q2)MaximumBoost,Project PT. Levina Levita Network,,LEVINA LEVITA NET,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,0102614802 (DEPRI ALHAKI),Develop,1,1,12,216000000,0,18000000,REA,0,0
ISPMaxBoost,FAB,3,Mar,25000000,25000000,205000000,40000000,Done,SFA,3/27/2023,4/4/2023,4/6/2023,0065g00000Wgn0l,0065g00000Wgn0lAAB,(2023-Q2)MaximumBoost,MPLS 1G CYBER - SARANG KALIGEDE TUBAN,MTX10677390,AKSES UTAMA DINAMIKA,Domestic Telco Operator,WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,89228541 (LUTFI ZAWARI),Complete,1,1,12,245000000,5000000,20000000,WCA,0,0
ISPMaxBoost,FAB,4,Apr,2000000,17000000,137000000,180000000,Done,SFA,4/11/2023,4/11/2023,4/11/2023,0065g00000WhL3a,0065g00000WhL3aAAF,(2023-Q2)MaximumBoost,DETH PALAPA NUSANTARA 500 ISP MAKSIMUM BOOST,MTX08698232,PALAPA GLOBAL NUSANTARA,"Arts,entertainment& recreation",WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,91208350 (NAILAL MUSTAGHFIRI),Complete,1,1,24,362000000,2000000,15000000,REA,0,WEST REGIONAL
ISPMaxBoost,FAB,4,Apr,2000000,12200000,93800000,30600000,Done,SFA,4/12/2023,4/12/2023,4/12/2023,0065g00000WhMmW,0065g00000WhMmWAAV,(2023-Q2)MaximumBoost,DETH 200MBPS KERTOHARJO MAXIMUM BOOST,MTX10680681,DEWATA MEDIA TEKNOLOGI,Internet Service Provider(ISP),WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,91208350 (NAILAL MUSTAGHFIRI),Complete,1,1,12,124400000,2000000,10200000,WCA,0,0
ISPMaxBoost,FAB,4,Apr,3500000,38500000,318500000,105000000,Done,SFA,4/3/2023,4/3/2023,4/3/2023,0065g00000Wh1rQ,0065g00000Wh1rQAAR,2023-Q2MaximumBoost,PT INTI BANGUN SEJAHTERA SITE METRO LPG,MTX10287374,INTI BANGUN SEJAHTERA TBK,Construction,REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,79126435 (ADE IRMA FAUZIAH),Complete,1,1,12,423500000,3500000,35000000,REA,Media & OTT,WEST REGIONAL
ISPMaxBoost,NO,4,Apr,3500000,8350000,47150000,14550000,Done,SFA,4/18/2023,4/13/2023,4/13/2023,0065g00000WhOge,0065g00000WhOgeAAF,2023-Q2MaximumBoost,PT PANCA DUTA UTAMA SITE INDRAGIRI HULU,MTX08637177,PANCA DUTA UTAMA,Hardware/Equipment Supplier,REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,79126435 (ADE IRMA FAUZIAH),Develop,1,1,12,61700000,3500000,4850000,REA,Media & OTT,WEST REGIONAL
ISPMaxBoost,FAB,4,Apr,0,25000000,225000000,75000000,Done,SFA,4/4/2023,4/4/2023,4/4/2023,0065g00000Wh4Fn,0065g00000Wh4FnAAJ,(2023-Q2)MaximumBoost,MPLS site Sungai lilin,MTX08505009,DUAK SATU DUA TIGA,Hardware/Equipment Supplier,REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,71974376 (NICO ENJELIT),Complete,1,1,12,300000000,0,25000000,REA,SMB,WEST REGIONAL
ISPMaxBoost,FAB,4,Apr,0,25000000,225000000,75000000,Done,SFA,4/5/2023,4/5/2023,4/5/2023,0065g00000Wh8AL,0065g00000Wh8ALAAZ,(2023-Q2)MaximumBoost,MPLS 500 Mbps site Pinrang,MTX09482393,JARINGANKU SARANA NUSANTARA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,71974376 (NICO ENJELIT),Complete,1,1,12,300000000,0,25000000,REA,Media & OTT,WEST REGIONAL
ISPMaxBoost,FAB,4,Apr,0,25000000,225000000,75000000,Done,SFA,4/5/2023,4/5/2023,4/5/2023,0065g00000Wh8NU,0065g00000Wh8NUAAZ,(2023-Q2)MaximumBoost,MPLS 500 Mbps site sangatta,MTX09482393,JARINGANKU SARANA NUSANTARA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,71974376 (NICO ENJELIT),Complete,1,1,12,300000000,0,25000000,REA,Media & OTT,WEST REGIONAL
ISPMaxBoost,FAB,4,Apr,0,15000000,135000000,45000000,Done,SFA,4/11/2023,4/11/2023,4/11/2023,0065g00000WhKZZ,0065g00000WhKZZAA3,(2023-Q2)MaximumBoost,MPLS 100 Mbs site Jambi,MTX08505009,DUAK SATU DUA TIGA,Hardware/Equipment Supplier,REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,71974376 (NICO ENJELIT),Complete,1,1,12,180000000,0,15000000,REA,SMB,WEST REGIONAL
ISPMaxBoost,FAB,4,Apr,0,12000000,108000000,36000000,Done,SFA,4/12/2023,4/12/2023,4/12/2023,0065g00000WhMh2,0065g00000WhMh2AAF,(2023-Q2)MaximumBoost,MPLS 20 Mbps site Samarinda,MTX08505009,DUAK SATU DUA TIGA,Hardware/Equipment Supplier,REGIONAL ENTERPRISE ACCOUNT,WEST REGIONAL,,71974376 (NICO ENJELIT),Complete,1,1,12,144000000,0,12000000,REA,SMB,WEST REGIONAL
ISPMaxBoost,NO,4,Apr,5000000,30000000,230000000,75000000,Done,SFA,4/30/2023,4/6/2023,4/6/2023,0065g00000WhAYy,0065g00000WhAYyAAN,(2023-Q2)MaximumBoost,TECHNO MANDIRI TELEMATIKA MPLS,MTX10561144,TECHNO MANDIRI TELEMATIKA,Business&Management Consulting,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84229498 (SARDI),Value,1,1,12,305000000,5000000,25000000,REA,0,0
ISPMaxBoost,NO,4,Apr,3500000,10500000,66500000,21000000,Done,SFA,4/30/2023,4/10/2023,4/10/2023,0065g00000WhIWK,0065g00000WhIWKAA3,2023-Q2MaximumBoost,TECHNO MANDIRI TELEMATIKA MPLS SITE KOLAKA,MTX10561144,TECHNO MANDIRI TELEMATIKA,Business&Management Consulting,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84229498 (SARDI),Develop,1,1,12,87500000,3500000,7000000,REA,0,0
ISPMaxBoost,NO,4,Apr,3500000,10500000,66500000,21000000,Done,SFA,4/30/2023,4/10/2023,4/10/2023,0065g00000WhIfV,0065g00000WhIfVAAV,2023-Q2MaximumBoost,TECHNO MANDIRI TELEMATIKA MPLS SITE SELAYAR,MTX10561144,TECHNO MANDIRI TELEMATIKA,Business&Management Consulting,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84229498 (SARDI),Develop,1,1,12,87500000,3500000,7000000,REA,0,0
ISPMaxBoost,NO,4,Apr,3500000,10500000,66500000,21000000,Done,SFA,4/30/2023,4/10/2023,4/10/2023,0065g00000WhIhC,0065g00000WhIhCAAV,2023-Q2MaximumBoost,TECHNO MANDIRI TELEMATIKA MPLS SITE JENEPONTO,MTX10561144,TECHNO MANDIRI TELEMATIKA,Business&Management Consulting,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84229498 (SARDI),Develop,1,1,12,87500000,3500000,7000000,REA,0,0
2023RacingIDA,NO,8,Aug,0,1750000000,1000000000,0,Done,SFA,8/31/2023,4/10/2023,,0065g00000WgDvL,0065g00000WgDvLAAV,2023RacingIDA,Inspeksi data Humas Polri,,DIVISI HUMAS MABES POLRI,Army,STRATEGIC ENTERPRISE ACCOUNT,MEDIA & ENERGY,,90229504 RIVO LINO,Identify,1,1,,1000000000,1000000000,750000000,SEA,0,0
